no|title|text|senti_value
4|BAKALAN MATI DALAM BEBERAPA TAHUN|Entah kenapa belanja di Bhineka seperti ogah ogahan, selain itu saya baru tahu berdasarkan review dari Bhineka point mereka, ya itulah iklan adsense mereka, mereka cuman berani membayar 500 perak untuk tiap hari anda login, langsung blokir saja iklan adsense dari bhineka, Curcol bentar Nah untuk toko, saya rasa harga disitu sungguh sangat mengecewakan dan tidak update, alias harga bisa berbeda jauh dan tidak dapat bersaing dengan toko lainnya, memang ada merchan disana, tapi saya ragu kalau mendengar komentar banyak yang mengatakan transaksi dengan bhineka itu ribet, wong sama bhineka sendiri aja ribet, pa lagi sama merchan dengan host bhineka, ribet kuadrat, Semoga bhineka mampu bangkit dan bersaing dengan toko toko online lainnya, malu ah, besar di web doang tapi kualitas cetek, ngak ada yang beli, ni bhineka toko atau halaman web ?? kalah sama enterkomputer, rakitan,nonokomputer,|1
5|Tobat gw belanja di Bhinneka.|Sudah transfer tapi diproses lama. Ket diweb barang ready stock, karena lama g ada info akhirnya saat prjalanan dinas ke Jakarta gw samperin kantor Bhinneka, dan ketahuan kalau barang yg gw pesan ga ready, msti nunggu. Hadeeh...tobat gw.|1
7|lambat|Benar-benar sebuah kesan buruk belanja di Bhinneka dalam hal ketepatan waktu|1
8|Kurang Menarik|Kirang bisa memenuhi selera online shopper...|2
10|pengiriman lamaaa...|beli barang kirim ke jkt aja bth 6 hari utk proses, br status berubah dalam pengiriman, ntah brp lama brg sampe ke tangan, gmana kalau kirim ke pulau lain yang jauh???|1
12|NOT RECOMMENDED|SLogan Bhinneka.com, Lengkap dan Mudah Lengkap, Lengkap apaan ?? lengkap penderitaan customer untuk menunggu stock barang?? Mudah, Mudah apaan ?? belanja aja di persulit untuk mendapat kepastian barang di kirim dan terlalu banyak alasan. ini yang komen bagus di bawah2, ente orang bhinneka?? atau ente sales bhinneka?? di website ready stock, setelah di order dan bayar ternyata barang tidak ada... berhari-berhari menunggu hanya sebuah alasan yang di lontarkan.. dari tgl 21 November 2016 sampai saya menulis ini pun belum jg ada itu barang dan belum lagi menunggu waktu pengiriman,, entah sampai kapan.. NOT RECOMMEND belanja di Bhinneka.com sudah banyak kasus customer yang seperti saya..|1
13|Lambat, Ternyata Barang Tidak Tersedia|"Seperti yang dikatakan oleh yang lain disini, proses sangat lambat, terus2an: status ""sedang diproses"". Setelah beberapakali bertanya akhirnya ada jawaban: ""Barang tidak tersedia"" wow.. Ternyata barang tidak ready stock, jadi ""sedang diproses"" itu maksudnya ""sedang dipesan dari distributor""? tapi produk dipajang di website... Pantesan lama."|1
14|Proses Lambat|Prosesnya sangat lambat sekali. Entah apa yang mereka lakukan karena tidak ada informasi yang jelas. Statusnya sedang di proses , gitu aja. Bagi kalian yang ingin barang cepat sampai, bhinneka tidak saya rekomendasikan. Tapi kalo soal kepercayaan, bhinneka bisa dipercaya|2
15|Pelayanan mengecewakan|Bhineka yang dulu saya kenal beda dengan sekarang, pelayanan sekarang sangat mengecewakan. pengiriman pesanan barang tidak sesuai dengan permintaan,dan ketika ingin refund dana prosesnya lama sekali tidak sesuai dengan janji yang diucapkan, terlalu banyak alasan, pokoknya sangat mengecewakan pembeli. Mohon maaf ini fakta yang membuktikan.|2
17|CEK BARANG NYA LAMA BENER..|ORDER 1 NOVEMBER SKRNG TGL 4 MASIH STATUS ANTRIAN. MENDING KLO UDAH DIKIRIM INI MASIH ANTRIAN. BELUM LAGI SABTU -MINGGU LIBUR SURAM BANGET.|2
