$:	0	0.375
%)	0	0.1
%-)	0	0.375
&-:	0	0.1
&:	0	0.175
( '}{' )	0.4	0
(%	0	0.225
('-:	0.55	0
(':	0.575	0
((-:	0.525	0
(*	0.275	0
(-%	0	0.175
(-*	0.325	0
(-:	0.4	0
(-:0	0.7	0
(-:<	0	0.1
(-:o	0.375	0
(-:O	0.375	0
(-:{	0	0.025
(-:|>*	0.475	0
(-;	0.325	0
(-;|	0.525	0
(8	0.65	0
(:	0.55	0
(:0	0.6	0
(:<	0	0.05
(:o	0.625	0
(:O	0.625	0
(;	0.275	0
(;<	0.075	0
(=	0.55	0
(?:	0.525	0
(^:	0.375	0
(^;	0.375	0
(^;0	0.5	0
(^;o	0.475	0
(o:	0.4	0
)':	0	0.5
)-':	0	0.525
)-:	0	0.525
)-:<	0	0.55
)-:{	0	0.525
):	0	0.45
):<	0	0.475
):{	0	0.575
);<	0	0.65
*)	0.15	0
*-)	0.075	0
*-:	0.525	0
*-;	0.6	0
*:	0.475	0
*<|:-)	0.4	0
*\0/*	0.575	0
*^:	0.4	0
,-:	0.3	0
---'-;-{@	0.575	0
--<--<@	0.55	0
.-:	0	0.3
..###-:	0	0.425
..###:	0	0.475
/-:	0	0.325
/:	0	0.325
/:<	0	0.35
/=	0	0.225
/^:	0	0.25
/o:	0	0.35
0-8	0.025	0
0-|	0	0.3
0:)	0.475	0
0:-)	0.35	0
0:-3	0.375	0
0;^)	0.4	0
0_o	0	0.075
10q	0.525	0
3:(	0	0.55
3:)	0.125	0
3:-(	0	0.575
3:-)	0	0.35
8)	0.475	0
8-d	0.425	0
8-o	0	0.075
8d	0.725	0
:$	0	0.05
:&	0	0.15
:'(	0	0.55
:')	0.575	0
:'-(	0	0.6
:'-)	0.675	0
:(	0	0.475
:)	0.5	0
:*	0.625	0
:-&	0	0.125
:-(	0	0.375
:-)	0.325	0
:-))	0.7	0
:-*	0.425	0
:-,	0.275	0
:-.	0	0.225
:-/	0	0.3
:-<	0	0.375
:-d	0.575	0
:-D	0.575	0
:-o	0.025	0
:-p	0.3	0
:-[	0	0.4
:-\	0	0.225
:-c	0	0.325
:-p	0.375	0
:-|	0	0.175
:-||	0	0.625
:-Þ	0.225	0
:/	0	0.35
:3	0.575	0
:<	0	0.525
:>	0.525	0
:?)	0.325	0
:?c	0	0.4
:@	0	0.625
:l	0	0.425
:o	0	0.1
:p	0.25	0
:s	0	0.3
:[	0	0.5
:\	0	0.325
:]	0.55	0
:^)	0.525	0
:^*	0.65	0
:^/	0	0.3
:^\	0	0.25
:^|	0	0.25
:c	0	0.525
:c)	0.5	0
:o)	0.525	0
:o/	0	0.35
:o\	0	0.275
:o|	0	0.15
:p	0.35	0
:{	0	0.475
:|	0	0.1
:}	0.525	0
:Þ	0.275	0
;)	0.225	0
;-)	0.25	0
;-*	0.55	0
;-]	0.175	0
;d	0.2	0
;D	0.2	0
;]	0.15	0
;^)	0.35	0
</3	0	0.75
<3	0.475	0
<:	0.525	0
<:-|	0	0.35
=)	0.55	0
=-3	0.5	0
=-d	0.6	0
=-D	0.6	0
=/	0	0.35
=3	0.525	0
=d	0.575	0
=D	0.575	0
=l	0	0.3
=\	0	0.3
=]	0.4	0
=p	0.325	0
=|	0	0.2
>-:	0	0.5
>.<	0	0.325
>:	0	0.525
>:(	0	0.675
>:)	0.1	0
>:-(	0	0.675
>:-)	0	0.1
>:/	0	0.4
>:o	0	0.3
>:p	0.25	0
>:[	0	0.525
>:\	0	0.425
>;(	0	0.725
>;)	0.025	0
>_>^	0.525	0
@:	0	0.525
@>-->--	0.525	0
@}-;-'---	0.55	0
d-':	0	0.625
d8	0	0.8
d:	0	0.725
d:<	0	0.8
d;	0	0.725
d=	0	0.75
fav	0.6	0
lol	0.725	0
o-8	0	0.125
o-:	0	0.075
o-|	0	0.275
o.o	0	0.15
O.o	0	0.15
o.O	0	0.15
o:	0	0.05
o:)	0.375	0
o:-)	0.5	0
o:-3	0.55	0
o:3	0.575	0
o:<	0	0.075
o;^)	0.4	0
o_o	0	0.125
O_o	0	0.125
o_O	0	0.125
x-d	0.675	0
x-p	0.45	0
xd	0.675	0
xlnt	0.75	0
xoxo	0.75	0
zzz	0	0.3
[-;	0.125	0
[:	0.325	0
[;	0.25	0
[=	0.425	0
\-:	0	0.25
\:	0	0.25
\:<	0	0.425
\=	0	0.275
\^:	0	0.325
\o/	0.55	0
\o:	0	0.3
]-:	0	0.525
]:	0	0.4
]:<	0	0.625
^<_<	0.35	0
^urs	0	0.7
x-d	0.65	0
x-p	0.425	0
wow	0.7	0
yay	0.6	0
yeah	0.3	0
yummy	0.6	0
welcome	0.5	0
:))))	0.75	0
:)))))	0.75	0
:))))))	1	0
:)))))))	1	0
:))))))))	1	0
:)))))))))	1	0
:))))))))))	1	0
:-((	0	0.75
:-(((	0	0.75
:-((((	0	0.75
:((	0	0.75
;))	0.75	0
;)))	0.75	0
<33	0.75	0
<333	1	0
<3333	1	0
<33333	1	0
<333333	1	0
<3333333	1	0
<33333333	1	0
<333333333	1	0
8(	0	0.5
8-)	0.5	0
8-(	0	0.5
XO	0.75	0
XOXOXO	1	0
xo	0.75	0
xoxoxo	1	0
xoxoxoxo	1	0
